"name","max_players","min_players","min_age","playing_time","year_published","Category-1","Category-2","Category-3","Expansion_available","Mechanic-1","Mechanic-2","Mechanic-3","Publisher-1","Publisher-2","Publisher-3","average_rating"
"Defenders of the Realm: Battlefields","4","2","13","30","2012","Dice","Fantasy","Fighting","Yes","Dice Rolling","Hand Management",,"Eagle-Gryphon Games",,,"6.1"
"Defiant Russia","2","2","12","120","2004","Wargame","World War II",,"No","Dice Rolling","Hex-and-Counter",,"Avalanche Press Ltd.",,,"6.2"
"DeltaVee","2","2","10","60","1981","Science Fiction","Wargame",,"No","Dice Rolling","Hex-and-Counter",,"SPI (Simulations Publications"," Inc.)",,"5.5"
"Deluxe Dirty Minds","6","2","18","45","2005","Humor","Mature / Adult","Party Game","No","Roll / Spin and Move",,,"TDC Games"," Inc.",,"4.5"
"Democracy: Majority Rules","5","3","12","60","2013","Economic","Negotiation","Political","No","Partnerships","Simultaneous Action Selection","Voting","Make Believe Games",,,"6.1"
"Democrazy","10","4","12","45","2000","Card Game","Party Game",,"No","Voting",,,"Descartes Editeur",,,"5.5"
"Demonworld","6","2","12","120","1999","Adventure","Fantasy","Medieval","No","Hex-and-Counter",,,"Asmodee","Hobby Products GmbH","Ral Partha Europe","6.6"
"Der Feuersalamander","4","2","10","30","1988","Deduction","Fantasy","Memory","No","Dice Rolling","Hand Management","Memory","Dourios","Noris Spiele",,"5.8"
"Der Fliegende Holländer","6","3","12","60","1992","Bluffing","Nautical",,"No","Stock Holding","Trading",,"Bandai","Huki","Parker Brothers","6"
"Der Garten des Sonnenkönigs","5","2","10","60","1996","Economic","Renaissance",,"No","Auction/Bidding",,,"Bambus Spieleverlag","Noris Spiele",,"5.9"
"Der Goldene Kompass","4","2","10","60","2007","Fantasy","Novel-based","Racing","No","Hand Management",,,"999 Games","Competo / Marektoy","Editrice Giochi","5.5"
"Der grosse Gallier","6","2","10","60","2001","Bluffing","Sports",,"No","Auction/Bidding",,,"Clementoni",,,"5.5"
"Der Palast von Eschnapur","4","2","10","60","2009","Ancient",,,"No","Area Control / Area Influence","Variable Player Powers",,"AMIGO Spiel + Freizeit GmbH",,,"5.6"
"Der Pate","4","2","12","60","2010","Dice","Economic","Mafia","No","Dice Rolling",,,"KOSMOS",,,"6.3"
"Der Schatz der Inka","6","2","8","60","1987","Adventure","Exploration",,"No","Dice Rolling","Grid Movement","Hand Management","Educa Sallent SA","Ravensburger Spieleverlag GmbH",,"4.8"
"Der wahre Walter","10","4","0","60","1989","Party Game",,,"No","Betting/Wagering","Voting",,"Fata Morgana Spiele",,,"7.3"
"Der weiße Lotus","6","3","12","80","2000","Medieval","Negotiation",,"No","Auction/Bidding","Hand Management","Route/Network Building","TM Spiele",,,"6.2"
"Descent on Crete","2","2","14","240","1978","Wargame","World War II",,"No","Hex-and-Counter","Simulation",,"SPI (Simulations Publications"," Inc.)",,"6"
"Descent: Journeys in the Dark","5","2","12","240","2005","Adventure","Exploration","Fantasy","Yes","Dice Rolling","Grid Movement","Modular Board","Arclight","Delta Vision Publishing","Edge Entertainment","7.3"
"Desert Bazaar","5","3","10","45","2006","Arabian",,,"No","Dice Rolling","Hand Management","Tile Placement","Mattel",,,"5.7"
"Desert Island","6","4","8","60","2015","Card Game","Negotiation",,"No","Role Playing","Variable Player Powers",,"Gorilla Games",,,"6"
"Desert Steel","2","2","12","240","1989","Wargame","World War II",,"No","Hex-and-Counter",,,"West End Games",,,"7"
"Desperados","4","2","8","30","1990","American West","Card Game",,"No","Partnerships",,,"Avalanche Press Ltd.","Eagle-Gryphon Games","Hexagames (I)","5.5"
"Destination: Neptune","4","2","12","90","2014","Economic","Educational","Science Fiction","No","Area Control / Area Influence","Hand Management","Pick-up and Deliver","Griggling Games"," Inc.",,"6.5"
"Destruction of Army Group Center","2","2","12","120","1973","Wargame","World War II",,"No","Hex-and-Counter","Simulation",,"SPI (Simulations Publications"," Inc.)",,"5.7"
"Detroit-Cleveland Grand Prix","6","2","8","60","1996","Card Game","Racing",,"No","Auction/Bidding",,,"Mayfair Games",,,"6.8"
"Deukalion","4","2","10","60","2008","Fighting","Mythology","Nautical","Yes","Dice Rolling","Grid Movement","Pick-up and Deliver","Parker Spiele",,,"6"
"Deus","4","2","14","90","2014","Civilization","Mythology",,"Yes","Grid Movement","Hand Management","Modular Board","Pearl Games","Asmodee","Asterion Press","7.4"
"Deus Ex Machina","4","2","10","45","2016","Ancient","Educational","Fighting","No","Card Drafting","Set Collection","Variable Player Powers","AlcyonCreative",,,"7"
"Deus Vult!","2","2","10","30","2005","Abstract Strategy","Card Game","Medieval","No","Card Drafting","Dice Rolling","Roll / Spin and Move","Rose & Poison",,,"5.1"
