"name","max_players","min_players","min_age","playing_time","year_published","Category-1","Category-2","Category-3","Expansion_available","Mechanic-1","Mechanic-2","Mechanic-3","Publisher-1","Publisher-2","Publisher-3","average_rating"
"Nuklear Winter '68","3","2","12","60","2012","Fantasy","Science Fiction","Wargame","Yes","Chit-Pull System","Hex-and-Counter",,"Lock 'n Load Publishing"," LLC.",,"7.5"
"Null & Nichtig","5","3","8","30","2006","Card Game",,,"No","Trick-taking",,,"999 Games","AMIGO Spiel + Freizeit GmbH",,"6"
"Numeri","4","2","7","30","1998","Dice","Math","Racing","No","Dice Rolling","Roll / Spin and Move",,"Klee","Schmidt Spiele",,"5.8"
"Nuns on the Run","8","2","10","45","2010","Bluffing","Deduction","Humor","Yes","Dice Rolling","Paper-and-Pencil","Pick-up and Deliver","Mayfair Games",,,"6.6"
"Nur die Ziege zählt","6","3","8","30","2009","Animals","Card Game",,"No","Hand Management","Trick-taking",,"AMIGO Spiel + Freizeit GmbH","Gigamic",,"6.1"
"Nur Peanuts!","6","2","8","45","2001","Economic",,,"No","Roll / Spin and Move",,,"Goldsieber Spiele",,,"6.1"
"Nuts!","6","2","13","30","2011","Animals","Card Game","Humor","No","Hand Management","Set Collection",,"Sandstorm Productions LLC","WildFire LLC",,"5.7"
"Nyet!","5","2","10","30","1997","Card Game",,,"No","Hand Management","Trick-taking",,"GoKids ????","Goldsieber Spiele","Heidelberger Spieleverlag","6.9"
"O Último Grande Campeão","6","3","14","45","2011","Fighting",,,"No","Card Drafting","Dice Rolling",,"Galápagos Jogos",,,"6.4"
"O Vale dos Monstros","5","2","14","60","2011","Horror",,,"No","Action Point Allowance System","Area Control / Area Influence","Area Movement","Galápagos Jogos",,,"6.8"
"O Zoo le Mio","4","2","9","60","2002","Animals",,,"No","Area Enclosure","Auction/Bidding","Set Collection","Cwali","G3","Gigamic","6.6"
"O'Connor's Offensive","2","2","12","180","1985","Wargame","World War II",,"No","Hex-and-Counter",,,"3W (World Wide Wargames)",,,"6.7"
"Oasis","5","3","10","60","2004","Animals","Territory Building",,"No","Area Enclosure","Auction/Bidding","Hand Management","Schmidt Spiele","Überplay",,"6.7"
"Oath of the Brotherhood","5","2","12","60","2015","Adventure","Pirates",,"Yes","Variable Player Powers","Worker Placement",,"Alderac Entertainment Group (AEG)","Desyllas Games",,"6.5"
"Objective: Kiev","2","2","12","45","2010","Wargame","World War II",,"Yes","Hex-and-Counter",,,"GMT Games","RBM Studio","Victory Point Games","6.9"
"Objective: Tunis","2","2","0","120","1991","Wargame","World War II",,"No","Dice Rolling","Hex-and-Counter","Roll / Spin and Move","Decision Games (I)",,,"5.1"
"Obscura Tempora","6","2","10","45","2005","Card Game","City Building","Fighting","Yes","Card Drafting","Rock-Paper-Scissors","Secret Unit Deployment","Rose & Poison",,,"5.5"
"Oceanos","5","2","8","45","2016","Animals","Exploration","Nautical","No","Card Drafting","Set Collection",,"Devir","Hutter Trade GmbH + Co KG","IELLO","7.1"
"Octiles","4","2","8","60","1984","Abstract Strategy","Maze","Racing","No","Tile Placement",,,"Kadon Enterprises","Pin International","Pintoy","6.4"
"October War","2","2","12","120","1977","Modern Warfare","Wargame",,"No","Dice Rolling","Hex-and-Counter",,"SPI (Simulations Publications"," Inc.)",,"6.8"
"Octopus' Garden","4","2","10","45","2011","Animals",,,"Yes","Set Collection","Tile Placement",,"Valley Games"," Inc.",,"6.7"
"Odds'R","4","2","0","90","2002","Dice","Party Game","Trivia","No","Betting/Wagering","Dice Rolling","Roll / Spin and Move","Eagle-Gryphon Games",,,"4.6"
"OddVille","4","2","10","45","2012","Card Game","City Building","Fantasy","No","Card Drafting","Tile Placement","Variable Player Powers","hobbity.eu","Hutter Trade GmbH + Co KG","IELLO","6.9"
"Odin's Ravens","2","2","10","30","2002","Animals","Card Game","Mythology","No","Hand Management",,,"KOSMOS","Osprey Games","Rio Grande Games","6.7"
"Odysseus","6","3","10","45","2001","Ancient","Exploration","Mythology","No","Variable Player Powers",,,"Jumbo",,,"5.8"
"Odyssey: Wrath of Poseidon","5","2","13","30","2015","Deduction","Nautical",,"No","Area Movement","Partnerships",,"Ares Games","Devir","Heidelberger Spieleverlag","6.3"
"Off Your Rocker","12","4","12","45","2012","Deduction","Party Game",,"No","Acting","Voting",,"Stratus Games","Le Scorpion Masqué",,"6.5"
"Offerings","5","3","10","60","2010","Ancient","Animals","Mythology","No","Auction/Bidding",,,"Ludonaute",,,"6.5"
"Ogre Miniatures","8","2","10","120","1992","Fighting","Miniatures","Science Fiction","No","Dice Rolling",,,"Steve Jackson Games",,,"7.3"
"Oh Gnome You Don't!","5","2","13","90","2011","Economic","Fantasy",,"No","Roll / Spin and Move",,,"Gut Bustin' Games",,,"5.6"
"Oh My Goods!","4","2","10","30","2015","Card Game","Economic","Medieval","Yes","Action / Movement Programming","Hand Management","Press Your Luck","999 Games","Compaya.hu - Gamer Café Kft.","GoKids ????","7"
"Oh no... INVASION!!!","5","3","12","30","2012","Card Game","Science Fiction",,"No","Co-operative Play","Set Collection",,"FableSmith",,,"5.8"
"Oh, Pharaoh!","4","2","10","40","2004","Ancient","Card Game",,"No","Pattern Building","Trading",,"999 Games","Kanga Games","KOSMOS","5.8"
"Ohio","5","2","12","30","1998","Card Game",,,"No","Trick-taking",,,"Jumbo",,,"5.9"
"Ohne Furcht und Adel","7","2","10","60","2012","Bluffing","Card Game","City Building","No","Card Drafting","Variable Phase Order","Variable Player Powers","999 Games","Hans im Glück Verlags-GmbH","MINDOK","7.1"
"Oilfield","5","2","12","60","2016","Economic","Industry / Manufacturing","Negotiation","No","Area Control / Area Influence","Auction/Bidding","Simultaneous Action Selection","ABBA Games",,,"7"
"Okinawa","2","2","12","240","1981","Wargame","World War II",,"No","Dice Rolling","Hex-and-Counter","Secret Unit Deployment","Eurogames","International Team",,"6.1"
"Okko: Era of the Asagiri","2","2","12","45","2008","Comic Book / Strip","Fighting","Medieval","Yes","Area Control / Area Influence","Dice Rolling","Grid Movement","Asmodee","Hazgaard Editions","Idea Edizioni","6.7"
"Old Men of the Forest","4","3","10","30","2011","Animals","Card Game",,"No","Hand Management","Set Collection","Trick-taking","Treefrog Games",,,"5.6"
"Olé!","8","3","8","30","1996","Card Game",,,"No","Hand Management",,,"ABACUSSPIELE",,,"6.6"
"Oltre Mare","5","2","12","60","2004","Bluffing","Card Game","Nautical","No","Card Drafting","Hand Management","Set Collection","AMIGO Spiel + Freizeit GmbH","Lautapelit.fi","Mind the Move","6.7"
"Olympia 2000 (v. Chr.)","5","2","9","30","1994","Ancient","Card Game","Sports","No","Simultaneous Action Selection",,,"Hans im Glück Verlags-GmbH",,,"6.1"
"Olympica","2","2","12","45","1978","Science Fiction","Wargame",,"No","Hex-and-Counter",,,"Metagaming",,,"6.2"
"Olympos","5","2","12","75","2011","Ancient","Civilization","Fighting","Yes","Area Control / Area Influence","Area Movement","Set Collection","Hobby Japan","REBEL.pl","Rio Grande Games","7"
"Olympus","5","3","14","120","2010","Ancient","City Building","Civilization","No","Take That","Variable Phase Order","Worker Placement","Fantasy Flight Games","Heidelberger Spieleverlag","Stratelibri","6.9"
"Omaha","2","2","12","360","1991","Fighting","Wargame","World War II","No","Hex-and-Counter","Simulation",,"The Gamers",,,"7.2"
"Omaha Beachhead","2","2","12","300","1987","Wargame","World War II",,"No","Dice Rolling","Hex-and-Counter","Simulation","Victory Games (I)",,,"6.1"
"Omega Centauri","4","2","12","60","2014","Civilization","Science Fiction",,"No","Modular Board","Variable Phase Order",,"(Web published)","Spiral Galaxy Games",,"7.1"
"Omen: A Reign of War","2","2","12","30","2011","Ancient","Card Game","Fantasy","Yes","Area Control / Area Influence","Card Drafting","Hand Management","Small Box Games",,,"7.4"
"Omertà, el poder de la mafia","5","2","14","90","2015","Card Game","Dice","Mafia","No","Area Control / Area Influence",,,"Holocubierta Ediciones",,,"7.5"
"On Assignment with National Geographic","4","2","8","60","1990","Deduction","Educational","Environmental","No","Card Drafting",,,"National Geographic Society",,,"5"
"On The Cards","6","2","10","30","2011","Card Game",,,"No","Trick-taking",,,"Surprised Stare Games Ltd",,,"6.6"
"On the Underground","5","2","7","60","2006","Trains","Transportation",,"Yes","Route/Network Building",,,"JKLM Games","Rio Grande Games",,"6.9"
"On to Richmond!","2","2","12","180","1998","American Civil War","Wargame",,"Yes","Hex-and-Counter","Variable Phase Order",,"Avalon Hill","Multi-Man Publishing",,"7.9"
"Once Upon a Time: The Storytelling Card Game","6","2","8","30","1993","Card Game","Humor","Party Game","Yes","Hand Management","Storytelling","Voting","AMIGO Spiel + Freizeit GmbH","Asmodee","Atlas Games","6.5"
"One False Step for Mankind","6","3","10","180","2003","American West","Farming","Humor","Yes","Auction/Bidding","Dice Rolling","Modular Board","Cheapass Games",,,"6.3"
"One More Barrel","5","3","12","90","2008","Economic","Political",,"No","Area Control / Area Influence","Simulation",,"Giochix.it",,,"6.5"
"One-Page Bulge","2","2","12","120","1980","Wargame","World War II",,"No","Hex-and-Counter",,,"Steve Jackson Games",,,"6.1"
"Oni","6","3","8","30","2014","Card Game","Deduction","Party Game","No","Memory","Simultaneous Action Selection",,"Treesharp Games","(Self-Published)","Culturarte","6.9"
"Onitama","2","2","8","30","2014","Abstract Strategy",,,"Yes","Grid Movement",,,"conception","Arcane Wonders","minimalGames","7.7"
"Online: Internet Card Game","6","2","6","60","2000","Card Game",,,"No","Set Collection","Take That",,"Goliath B.V.","Hasbro",,"4.9"
"Onslaught","2","2","12","240","1987","Wargame","World War II",,"No","Action Point Allowance System","Hex-and-Counter",,"Kokusai-Tsushin Co."," Ltd. (?????)","Protocol Productions","6.5"
"Onward to Venus","5","2","0","120","2014","Comic Book / Strip","Fighting","Science Fiction","No","Area Control / Area Influence","Dice Rolling","Hand Management","Treefrog Games",,,"6.9"
"Opera","4","2","12","90","2009","Age of Reason","Economic","Music","No","Auction/Bidding","Commodity Speculation","Set Collection","The Game Master BV","HUCH! & friends","Hutter Trade GmbH + Co KG","6.7"
"Operation Battleaxe:  Wavell vs. Rommel, 1941","2","2","12","120","2013","Wargame","World War II",,"No","Area-Impulse",,,"Kokusai-Tsushin Co."," Ltd. (?????)","Revolution Games (II)","7.3"
"Operation Cannibal","2","2","12","180","1996","Wargame","World War II",,"No","Chit-Pull System","Dice Rolling","Hex-and-Counter","Avalanche Press Ltd.",,,"4.9"
"Operation Crusader","2","2","0","300","1978","Wargame","World War II",,"No","Hex-and-Counter","Simulation",,"GDW Games",,,"7.3"
"Operation Dauntless: The Battles for Fontenay and Rauray, France, June 1944","2","2","12","120","2016","Wargame","World War II",,"No","Dice Rolling","Hex-and-Counter","Simulation","GMT Games",,,"7.9"
"Operation F.A.U.S.T.","8","3","13","30","2015","Bluffing","Card Game","Deduction","Yes","Hand Management","Memory","Secret Unit Deployment","Robert Burke Games",,,"6.5"
"Operation Grenade","2","2","12","240","1981","Wargame","World War II",,"No","Hex-and-Counter",,,"Hobby Japan","Kokusai-Tsushin Co."," Ltd. (?????)","6.3"
"Operation Market Garden","2","2","12","120","1985","Wargame","World War II",,"No","Dice Rolling","Hex-and-Counter","Secret Unit Deployment","GDW Games","Kokusai-Tsushin Co."," Ltd. (?????)","6.7"
"Operation Mercury","2","2","12","360","1992","Wargame","World War II",,"No","Dice Rolling","Hex-and-Counter",,"GMT Games",,,"7"
"Operation Michael","2","2","12","180","2002","Dice","Fighting","Wargame","No","Dice Rolling","Hex-and-Counter",,"Multi-Man Publishing",,,"6.8"
"Operation Typhoon","2","2","12","1500","1978","Wargame","World War II",,"No","Dice Rolling","Hex-and-Counter","Simulation","Hobby Japan","SPI (Simulations Publications"," Inc.)","7.3"
"Ophidian 2350","2","2","8","30","2003","Card Game","Collectible Components",,"Yes","Action / Movement Programming","Hand Management","Player Elimination","Fleer/Skybox",,,"6.4"
"Ophir","4","2","10","60","2015","Economic","Nautical",,"Yes","Dice Rolling","Modular Board","Pick-up and Deliver","Terra Nova Games",,,"6.9"
"Option","4","2","8","60","1982","Word Game",,,"No","Tile Placement",,,"Clipper","Miro Company","Parker Brothers","5.6"
"Opus-Dei: Existence After Religion","6","2","16","45","2008","Card Game","Educational",,"No","Card Drafting",,,"Demagames",,,"6"
"Orbit","6","3","12","45","1993","Abstract Strategy",,,"No","Auction/Bidding","Dice Rolling",,"KOSMOS",,,"6.4"
"Orcs Orcs Orcs","4","2","13","45","2014","Fantasy",,,"Yes","Deck / Pool Building",,,"Queen Games",,,"6.6"
"Orcz","4","2","12","45","2000","Bluffing","Fantasy","Fighting","No","Auction/Bidding","Rock-Paper-Scissors",,"Fantasy Flight Games","Zvezda",,"5.4"
"Order of the Gilded Compass","5","2","10","60","2016","Adventure","Dice",,"Yes","Area Control / Area Influence","Dice Rolling",,"Grey Fox Games",,,"7.2"
"Order Up","4","2","6","30","2009","Card Game","Children's Game",,"No","Area Movement","Dice Rolling","Hand Management","Z-Man Games","August Games",,"6"
"Ordo","2","2","8","45","2009","Abstract Strategy",,,"No","Grid Movement",,,"(Web published)","Clemens Gerhards","nestorgames","7.4"
"Oregon","4","2","8","45","2007","American West",,,"No","Area Control / Area Influence","Tile Placement",,"Hans im Glück Verlags-GmbH","Lautapelit.fi","Rio Grande Games","6.8"
"Organized Crime","4","2","14","180","1974","Economic","Mafia","Negotiation","No","Area Control / Area Influence","Roll / Spin and Move","Trading","Iron Crown Enterprises","Koplow Games",,"5.6"
"Oriente","12","4","10","30","2004","Animals","Bluffing","Card Game","No","Partnerships","Variable Player Powers","Voting","ABACUSSPIELE","dV Giochi","Mayfair Games","5.8"
"Origin","4","2","8","60","2013","Exploration","Prehistoric",,"Yes","Area Control / Area Influence","Area Movement","Hand Management","Matagot","Group SNE","REXhry","6.8"
"Origin of Failing Water","4","3","10","30","2005","Card Game",,,"No","Trick-taking",,,"Game Field  (II)","Japon Brand",,"5.6"
"Origins:  How We Became Human","5","2","0","180","2007","Civilization","Prehistoric",,"Yes","Auction/Bidding","Card Drafting","Point to Point Movement","Sierra Madre Games",,,"6.8"
"Origo","5","2","10","60","2007","Ancient","Territory Building",,"No","Area Control / Area Influence","Card Drafting","Route/Network Building","Parker Spiele",,,"6"
"Orléans","4","2","12","90","2014","Medieval","Religious","Travel","Yes","Deck / Pool Building","Point to Point Movement",,"dlp games","Arclight","Baldar","8.1"
"Ortus","2","2","12","30","2013","Abstract Strategy","Fighting",,"Yes","Action Point Allowance System","Area Control / Area Influence","Grid Movement","FableSmith","Game Fabrica","Tailor Games","6.6"
"Ortus Regni","2","2","14","50","2014","Card Game","Medieval","Political","Yes","Deck / Pool Building","Player Elimination",,"Jon Sudbury Games",,,"7.5"
"Ostia","5","3","12","60","2005","Ancient","Economic",,"No","Auction/Bidding","Trading",,"Mayfair Games","Pro Ludo","PS-Games","5.9"
"Ostrakon","12","5","10","60","2004","Card Game","Party Game",,"No","Voting",,,"dV Giochi","Mayfair Games",,"5.8"
"Ouro de Tolo","6","3","8","40","2011","American West","Card Game",,"Yes","Hand Management","Press Your Luck","Set Collection","Ceilikan Jogos",,,"6.7"
"Out of Gears","8","2","8","30","2012","Bluffing","Deduction","Science Fiction","No","Simultaneous Action Selection",,,"ElfinWerks","Red Glove",,"6.3"
"Outburst Remix!","10","4","18","30","2004","Memory","Party Game","Word Game","No","Memory",,,"Mattel",,,"6.4"
"Outburst!","20","4","18","60","1986","Party Game","Real-time","Trivia","No","Dice Rolling","Partnerships",,"AS Company","Golden","Hasbro","5.8"
"Outer Earth","4","2","13","60","2013","Card Game","Economic","Industry / Manufacturing","No","Action Point Allowance System","Auction/Bidding","Hand Management","(Self-Published)","(Web published)",,"6.9"
"Outpost","9","2","12","150","1991","Economic","Science Fiction",,"No","Auction/Bidding",,,"Stronghold Games","TimJim Games",,"6.8"
"Outrage! Steal the Crown Jewels","6","2","8","45","1992","Murder/Mystery",,,"No","Co-operative Play","Pick-up and Deliver",,"Imperial Games (I)","Jade Games",,"4.8"
"Outremer","2","2","12","180","1987","Arabian","Fighting","Medieval","Yes","Hex-and-Counter",,,"Standard Games and Publications"," Ltd.",,"6.9"
"Over the Reich","2","2","12","120","1994","Aviation / Flight","Wargame","World War II","No","Hex-and-Counter",,,"Clash of Arms Games",,,"7.6"
"Overlord","4","2","12","180","1973","Wargame","World War II",,"No","Hex-and-Counter",,,"Conflict Games","Diseños Orbitales","GDW Games","6.8"
"Overseers","6","3","12","45","2015","Bluffing","Card Game",,"No","Card Drafting","Set Collection","Variable Player Powers","Big Fun Games","GateOnGames","Igiari","7.1"
